Wind speed (m/s),Power (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,36
4,76
4.5,134
5,192
5.5,269
6,346
6.5,465
7,584
7.5,737
8,890
8.5,1098
9,1306
9.5,1514
10,1722
10.5,1942
11,2162
11.5,2352
12,2542
12.5,2701
13,2860
13.5,2930
14,2970
14.5,2983
15,2995
15.5,3000
16,3000
16.5,3000
17,3000
17.5,3000
18,3000
18.5,3000
19,3000
19.5,3000
20,3000
20.5,3000
21,3000
21.5,3000
22,3000
22.5,3000
23,3000
23.5,3000
24,3000
24.5,3000
25,3000
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
